rag_id,id,date,reviewerTitle,ratingValue,ratingText,reviewReply,reviewReplyType,sentimentAnalysis,satisfactoryLevel,locationId,google_review_id,thirdPartyReviewSourcesId,url,full_review_json
REV_2139345_G_AbFvOqlw,2139345,2025-03-30 06:09:29.095000+00:00,Jesse,1,Drove all the way from West to stand in front of a closed shop that seems to be renovated or permanently closed. We double checked maps and it said open. It takes seconds to change opening hours on Google my business,"Dear Jesse,
Thank you for your feedback and for bringing this issue to our attention. 
We updated the relevant information across all channels immediately, weeks ago, and have double-checked on multiple devices to ensure that only the correct information is displayed. Unfortunately, sometimes it is necessary to clear the cache on personal devices to access the most current information. Despite these precautions, I am very sorry to hear about the inconvenience you experienced due to the changes. We truly appreciate your understanding and hope to have the opportunity to welcome you back in the future. If you ever visit Berlin, we would be delighted to host you at our location there.",dailyJobTemplate,Negative,60,93,AbFvOqlwkhi69bjpxMOJmS8VS5xDP7KwS2GFnM-crFduRcMhvTBBefYsQmwmYqCPdEjnCbkvAAjZpg,69,,"{""date"": ""2025-03-30 06:09:29.095000+00:00"", ""google_review_id"": ""AbFvOqlwkhi69bjpxMOJmS8VS5xDP7KwS2GFnM-crFduRcMhvTBBefYsQmwmYqCPdEjnCbkvAAjZpg"", ""id"": 2139345, ""isDraft"": false, ""ratingText"": ""Drove all the way from West to stand in front of a closed shop that seems to be renovated or permanently closed. We double checked maps and it said open. It takes seconds to change opening hours on Google my business"", ""ratingValue"": 1.0, ""replyByOpenAi"": false, ""reviewReply"": ""Dear Jesse,\nThank you for your feedback and for bringing this issue to our attention. \nWe updated the relevant information across all channels immediately, weeks ago, and have double-checked on multiple devices to ensure that only the correct information is displayed. Unfortunately, sometimes it is necessary to clear the cache on personal devices to access the most current information. Despite these precautions, I am very sorry to hear about the inconvenience you experienced due to the changes. We truly appreciate your understanding and hope to have the opportunity to welcome you back in the future. If you ever visit Berlin, we would be delighted to host you at our location there."", ""reviewReplyType"": ""dailyJobTemplate"", ""reviewerTitle"": ""Jesse"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": ""Negative"", ""satisfactoryLevel"": 60.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": 28002.0, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2139346_G_AbFvOqnt,2139346,2025-03-16 19:58:52.162000+00:00,rakel zetterlund,4,"Delicious food, a bit on the pricy side for brunch. Especially if you want to add something on (eg. Mushrooms) becaus the added portion is quite small. But overall the food and coffee was good!","Hi Rakel!

We're thrilled you enjoyed the food and coffee at FACTORY GIRL, and we appreciate your honest feedback about the pricing and portion sizes for add-ons. We'll take your comments on board as we're always looking to improve our brunch experience while maintaining the quality you've come to expect from us in Amsterdam.",dailyJobEmotionAI,Neutral,70,93,AbFvOqntc-sFDlJ18K1Fi9xBOLWUltbPCLk0YlIc__l4mYc4TwbW6KNS3cQxZybCLHbx5sX2A-1U,69,,"{""date"": ""2025-03-16 19:58:52.162000+00:00"", ""google_review_id"": ""AbFvOqntc-sFDlJ18K1Fi9xBOLWUltbPCLk0YlIc__l4mYc4TwbW6KNS3cQxZybCLHbx5sX2A-1U"", ""id"": 2139346, ""isDraft"": false, ""ratingText"": ""Delicious food, a bit on the pricy side for brunch. Especially if you want to add something on (eg. Mushrooms) becaus the added portion is quite small. But overall the food and coffee was good!"", ""ratingValue"": 4.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hi Rakel!\n\nWe're thrilled you enjoyed the food and coffee at FACTORY GIRL, and we appreciate your honest feedback about the pricing and portion sizes for add-ons. We'll take your comments on board as we're always looking to improve our brunch experience while maintaining the quality you've come to expect from us in Amsterdam."", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""rakel zetterlund"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": ""Neutral"", ""satisfactoryLevel"": 70.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2139347_G_AbFvOqlb,2139347,2025-03-16 00:27:11.929000+00:00,Mikala Narlock,5,,"Hello Mikala!

We're absolutely thrilled that you had a five-star experience at FACTORY GIRL in Amsterdam - your perfect rating means the world to us and motivates our team to keep delivering exceptional experiences. We hope to welcome you back soon for another amazing visit!",dailyJobEmotionAI,,0,93,AbFvOqlbLfuSNdBjlffFXgzvL3jfDr5Xi9ZH_Mez2_oK0l5FXCKKNwjRe-WbuENse206YBivYzKaeQ,69,,"{""date"": ""2025-03-16 00:27:11.929000+00:00"", ""google_review_id"": ""AbFvOqlbLfuSNdBjlffFXgzvL3jfDr5Xi9ZH_Mez2_oK0l5FXCKKNwjRe-WbuENse206YBivYzKaeQ"", ""id"": 2139347, ""isDraft"": false, ""ratingText"": """", ""ratingValue"": 5.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hello Mikala!\n\nWe're absolutely thrilled that you had a five-star experience at FACTORY GIRL in Amsterdam - your perfect rating means the world to us and motivates our team to keep delivering exceptional experiences. We hope to welcome you back soon for another amazing visit!"", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Mikala Narlock"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": null, ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2139348_G_AbFvOqnq,2139348,2025-03-10 12:34:14.052000+00:00,Annalisa,5,I went to try shakshuka for the first time and I was not disappointed! I was the perfect food for a chilly day. The hummus on top was homemade as well and was delicious. Now I want to learn how to make it!,"Hey Annalisa Quinn, your review just made our day! We're thrilled you enjoyed your first shakshuka experience with us, especially on a chilly day, and we're so glad you loved our homemade hummus too – maybe we can share some tips on making it next time you visit!",dailyJobTemplate,Positive,95,93,AbFvOqnqxbRvKugX0d36wck2n2sAZ0oXeZiE1gNo1EoW2ENbVKa8II8xMTVcr8zvGbPr6GeoBFFO,69,,"{""date"": ""2025-03-10 12:34:14.052000+00:00"", ""google_review_id"": ""AbFvOqnqxbRvKugX0d36wck2n2sAZ0oXeZiE1gNo1EoW2ENbVKa8II8xMTVcr8zvGbPr6GeoBFFO"", ""id"": 2139348, ""isDraft"": false, ""ratingText"": ""I went to try shakshuka for the first time and I was not disappointed! I was the perfect food for a chilly day. The hummus on top was homemade as well and was delicious. Now I want to learn how to make it!"", ""ratingValue"": 5.0, ""replyByOpenAi"": false, ""reviewReply"": ""Hey Annalisa Quinn, your review just made our day! We're thrilled you enjoyed your first shakshuka experience with us, especially on a chilly day, and we're so glad you loved our homemade hummus too \u2013 maybe we can share some tips on making it next time you visit!"", ""reviewReplyType"": ""dailyJobTemplate"", ""reviewerTitle"": ""Annalisa"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": ""Positive"", ""satisfactoryLevel"": 95.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2091153_G_AbFvOqkV,2091153,2025-02-27 22:55:07.950000+00:00,Metissia Stinvil,1,"I went back a few weeks ago the food quality went down the drain. They serve cheap juice from the supermarket as fresh orange juice, the dishes do not match the description, prices increased a lot, the staff seem tired and not willing to help. I would not recommend.","Hey Metissia, thanks for taking the time to share your feedback about FACTORY GIRL. We're genuinely sorry to hear about your disappointing experience and we'll definitely look into the issues you've raised, especially regarding the juice quality and menu descriptions.",dailyJobEmotionAI,Negative,30,93,AbFvOqkV7Qniwa9hVmh8_ycR_MeWWZMTthjfebW-aEnCvzINZ0kOertOHDYqDFj4DULEyrQ4O8ix,69,,"{""date"": ""2025-02-27 22:55:07.950000+00:00"", ""google_review_id"": ""AbFvOqkV7Qniwa9hVmh8_ycR_MeWWZMTthjfebW-aEnCvzINZ0kOertOHDYqDFj4DULEyrQ4O8ix"", ""id"": 2091153, ""isDraft"": false, ""ratingText"": ""I went back a few weeks ago the food quality went down the drain. They serve cheap juice from the supermarket as fresh orange juice, the dishes do not match the description, prices increased a lot, the staff seem tired and not willing to help. I would not recommend."", ""ratingValue"": 1.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey Metissia, thanks for taking the time to share your feedback about FACTORY GIRL. We're genuinely sorry to hear about your disappointing experience and we'll definitely look into the issues you've raised, especially regarding the juice quality and menu descriptions."", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Metissia Stinvil"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": ""Negative"", ""satisfactoryLevel"": 30.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": 27588.0, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2079408_G_AbFvOqmt,2079408,2025-02-25 10:47:04.391000+00:00,Kaan Pekin,5,,"Hey Kaan! We're absolutely thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we can't wait to welcome you back for another amazing experience soon!",dailyJobEmotionAI,,0,93,AbFvOqmt_Z1QMzISM8P8ULFYc1pIVOGjJ7_V8Gb-qKPaMR504vYacVGbIP79a5LiEHgNmYC-TzV9wg,69,,"{""date"": ""2025-02-25 10:47:04.391000+00:00"", ""google_review_id"": ""AbFvOqmt_Z1QMzISM8P8ULFYc1pIVOGjJ7_V8Gb-qKPaMR504vYacVGbIP79a5LiEHgNmYC-TzV9wg"", ""id"": 2079408, ""isDraft"": false, ""ratingText"": """", ""ratingValue"": 5.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey Kaan! We're absolutely thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we can't wait to welcome you back for another amazing experience soon!"", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Kaan Pekin"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": null, ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2066291_G_AbFvOqm4,2066291,2025-02-20 09:09:13.922000+00:00,T Major,1,"This was such a disappointing experience after reading such wonderful reviews about this place. Have had it on my list for a while so finally made my way and honestly, I would have had a much better breakfast at home than here. When I first walked in, the atmosphere was odd. No music and felt very clinical. Second, the coffee was not good. I ordered a latte and the espresso tasted weak. Could only really taste the milk. The biggest disappointment though was the food and the service. The menu had so many options but I was drawn to the Yosma because I love hummus and pilaki (beans) so much. I added two eggs and when the dish arrived it was so lacklustre. I started digging in and noticed there weren’t any beans. When I mentioned it to the server, she simply said “oh, we must be out.” Frustrating because I would have just ordered something else. She disappeared and then came back to confirm that yes, they were in fact out of beans. I told her it would have been nice to know as I would have ordered something else and she just stared at me and said “oh, sorry.” Then to top it off, when the bill arrived, there was no compensation for the missing item even though I had added two additional items. It was just a really dull experience for a place that has so much hype. Maybe if I had ordered something else, it would have out shined the incredibly mediocre service but you would hope that all dishes on the menu would be a excellent choice and leave you feeling happy with your decision.","Hey T, we're genuinely sorry to hear about your disappointing experience at FACTORY GIRL. We appreciate your detailed feedback and will use it to improve our service, menu accuracy, and overall atmosphere to ensure future visits meet the high standards our customers expect.",dailyJobEmotionAI,Neutral,0,93,AbFvOqm4FLF4GN4AAYGKfcaYNUxLKNPP3bVK4DcdGsqq3eql48oWFmoiayjMWHzZr6zPpO-TLN_rJg,69,,"{""date"": ""2025-02-20 09:09:13.922000+00:00"", ""google_review_id"": ""AbFvOqm4FLF4GN4AAYGKfcaYNUxLKNPP3bVK4DcdGsqq3eql48oWFmoiayjMWHzZr6zPpO-TLN_rJg"", ""id"": 2066291, ""isDraft"": false, ""ratingText"": ""This was such a disappointing experience after reading such wonderful reviews about this place. Have had it on my list for a while so finally made my way and honestly, I would have had a much better breakfast at home than here. When I first walked in, the atmosphere was odd. No music and felt very clinical. Second, the coffee was not good. I ordered a latte and the espresso tasted weak. Could only really taste the milk. The biggest disappointment though was the food and the service. The menu had so many options but I was drawn to the Yosma because I love hummus and pilaki (beans) so much. I added two eggs and when the dish arrived it was so lacklustre. I started digging in and noticed there weren\u2019t any beans. When I mentioned it to the server, she simply said \u201coh, we must be out.\u201d Frustrating because I would have just ordered something else. She disappeared and then came back to confirm that yes, they were in fact out of beans. I told her it would have been nice to know as I would have ordered something else and she just stared at me and said \u201coh, sorry.\u201d Then to top it off, when the bill arrived, there was no compensation for the missing item even though I had added two additional items. It was just a really dull experience for a place that has so much hype. Maybe if I had ordered something else, it would have out shined the incredibly mediocre service but you would hope that all dishes on the menu would be a excellent choice and leave you feeling happy with your decision."", ""ratingValue"": 1.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey T, we're genuinely sorry to hear about your disappointing experience at FACTORY GIRL. We appreciate your detailed feedback and will use it to improve our service, menu accuracy, and overall atmosphere to ensure future visits meet the high standards our customers expect."", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""T Major"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": ""Neutral"", ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": 27270.0, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2063024_G_AbFvOqke,2063024,2025-02-17 17:39:31.495000+00:00,Abeer,3,,"Hey Abeer! Thanks for taking the time to rate FACTORY GIRL. We're glad you had a good experience with us, but we'd love to hear more about what you enjoyed and where we could improve to make your next visit even better.",dailyJobEmotionAI,,0,93,AbFvOqkez3pnfikI29gGYVZMvzApnse8dQ3GVhlwbGOyxwC5nJnots-qdgDdDMuMF2HRZ-SquiksuQ,69,,"{""date"": ""2025-02-17 17:39:31.495000+00:00"", ""google_review_id"": ""AbFvOqkez3pnfikI29gGYVZMvzApnse8dQ3GVhlwbGOyxwC5nJnots-qdgDdDMuMF2HRZ-SquiksuQ"", ""id"": 2063024, ""isDraft"": false, ""ratingText"": """", ""ratingValue"": 3.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey Abeer! Thanks for taking the time to rate FACTORY GIRL. We're glad you had a good experience with us, but we'd love to hear more about what you enjoyed and where we could improve to make your next visit even better."", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Abeer"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": null, ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2058825_G_AbFvOqlF,2058825,2025-02-16 18:01:15.061000+00:00,Nicola Solzi,5,,"Hey Nicola! We're absolutely thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we can't wait to welcome you back for another amazing experience soon!",dailyJobEmotionAI,,0,93,AbFvOqlFlizP008PpGJcoTWggHyEpTW-FdCt_ZbgV8EP6QTTWOP5wl7uOZeFdoWHn_5jHBV_WF7N,69,,"{""date"": ""2025-02-16 18:01:15.061000+00:00"", ""google_review_id"": ""AbFvOqlFlizP008PpGJcoTWggHyEpTW-FdCt_ZbgV8EP6QTTWOP5wl7uOZeFdoWHn_5jHBV_WF7N"", ""id"": 2058825, ""isDraft"": false, ""ratingText"": """", ""ratingValue"": 5.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey Nicola! We're absolutely thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we can't wait to welcome you back for another amazing experience soon!"", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Nicola Solzi"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": null, ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
REV_2057975_G_AbFvOqkw,2057975,2025-02-15 21:39:58.608000+00:00,Sam Jaad,5,,"Hey Sam! We're thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we'd love to hear more about what made your experience so special next time you drop by!",dailyJobEmotionAI,,0,93,AbFvOqkwR7Z5nnNJtJnnyBZXDtsWD7OKSPVlJ8tpn1HD9dcG_0VObewLhpz_hlKWQlEWmwd2kIfXcg,69,,"{""date"": ""2025-02-15 21:39:58.608000+00:00"", ""google_review_id"": ""AbFvOqkwR7Z5nnNJtJnnyBZXDtsWD7OKSPVlJ8tpn1HD9dcG_0VObewLhpz_hlKWQlEWmwd2kIfXcg"", ""id"": 2057975, ""isDraft"": false, ""ratingText"": """", ""ratingValue"": 5.0, ""replyByOpenAi"": true, ""reviewReply"": ""Hey Sam! We're thrilled you had such a fantastic time at FACTORY GIRL in Amsterdam. Your five-star rating means the world to us, and we'd love to hear more about what made your experience so special next time you drop by!"", ""reviewReplyType"": ""dailyJobEmotionAI"", ""reviewerTitle"": ""Sam Jaad"", ""url"": """", ""thirdPartyReviewSourcesId"": 69, ""locationId"": 93, ""processedByPastReplyJob"": false, ""replyFetchedByReviewAgent"": false, ""deleteReplyFailedByReviewAgent"": false, ""editReplyFailedByReviewAgent"": false, ""sentimentAnalysis"": null, ""satisfactoryLevel"": 0.0, ""reviewStatus"": NaN, ""reviewTags"": [], ""task_id"": NaN, ""location_id"": 93, ""location_enableReviewAgent"": true, ""task"": NaN, ""reviewStatus_deleteReplyFailed"": NaN, ""reviewStatus_editReplyFailed"": NaN, ""reviewStatus_requestStatus"": NaN, ""reviewStatus_saveReplyFailed"": NaN, ""reviewStatus_sessionError"": NaN}"
